keyword,avg_monthly_searches,searches_past_months
ai artist,5400,"[4400, 5400, 3600, 2400, 5400, 3600, 2900, 2900, 4400, 3600, 2900, 3600, 2400, 2400, 2400, 2400, 2400, 2400, 2400, 2400, 2400, 1900, 1900, 1600, 1600, 1900, 2400, 1900, 1600, 1600, 1600, 2400, 2900, 2400, 2900, 2400, 1900, 6600, 5400, 12100, 5400, 6600, 5400, 4400, 4400, 4400, 2900, 2900]"
ai prompt engineer,4400,"[50, 90, 70, 70, 170, 720, 1600, 4400, 9900, 8100, 6600, 6600, 5400, 4400, 3600, 3600, 3600, 3600, 3600, 5400, 3600, 3600, 3600, 2900, 2900, 2900, 18100, 6600, 3600, 5400, 5400, 5400, 9900, 6600, 6600, 6600, 6600, 5400, 5400, 5400, 4400, 4400, 4400, 4400, 5400, 3600, 2900, 2900]"
ai trainer,4400,"[110, 90, 140, 140, 210, 320, 320, 390, 480, 720, 720, 720, 590, 590, 720, 720, 720, 1000, 1300, 1600, 1600, 1600, 1900, 1600, 1300, 1300, 1300, 1900, 1600, 2400, 2900, 2900, 2900, 2900, 2900, 2900, 2900, 2400, 2400, 2900, 2900, 4400, 3600, 8100, 8100, 6600, 4400, 3600]"
ai product manager,3600,"[320, 320, 320, 320, 320, 590, 720, 720, 880, 1300, 1000, 2900, 2900, 1900, 1900, 1900, 1600, 2400, 2400, 2400, 2400, 2400, 1900, 1900, 1600, 2400, 2400, 1900, 1900, 2900, 2900, 2900, 2900, 3600, 3600, 3600, 4400, 4400, 4400, 3600, 2900, 3600, 3600, 4400, 3600, 2900, 2400, 2400]"
ai project manager,3600,"[260, 260, 320, 390, 480, 880, 1000, 1300, 1900, 2400, 2400, 2400, 2400, 2400, 2400, 2400, 2400, 2900, 2900, 2900, 2900, 2900, 2900, 2400, 2400, 2900, 2900, 2400, 2400, 3600, 4400, 4400, 4400, 4400, 4400, 4400, 3600, 4400, 4400, 3600, 2900, 2900, 3600, 4400, 3600, 2900, 2900, 2900]"
ai architect,3600,"[880, 1000, 880, 880, 1300, 1600, 1600, 1900, 2400, 2900, 1900, 2400, 2400, 2400, 2400, 2400, 1900, 2900, 2900, 2900, 3600, 2900, 2400, 2400, 1900, 2400, 2400, 1900, 1900, 2900, 2900, 2900, 2900, 2900, 2900, 3600, 3600, 3600, 3600, 2900, 8100, 3600, 3600, 4400, 4400, 3600, 3600, 2900]"
ai developer,2400,"[590, 480, 480, 590, 720, 1300, 1000, 1300, 1600, 1900, 1300, 1300, 1600, 1600, 1600, 1600, 1600, 1900, 1900, 3600, 2900, 2400, 4400, 1900, 1900, 1900, 1900, 1900, 2400, 3600, 2900, 3600, 3600, 3600, 2900, 2900, 2900, 3600, 2400, 2400, 1900, 1900, 1900, 3600, 2400, 2400, 1900, 1900]"
ai nurse,2400,"[210, 320, 320, 320, 260, 390, 590, 720, 1000, 1000, 1000, 1000, 1000, 1300, 1300, 1300, 1000, 1300, 1600, 4400, 3600, 1900, 1900, 1600, 1600, 1900, 2400, 2400, 1900, 3600, 2900, 5400, 2900, 2400, 1900, 1900, 1900, 2900, 2900, 2900, 1900, 2400, 2900, 2900, 2900, 2400, 1600, 1900]"
ai rater,1900,"[880, 1000, 1000, 720, 720, 1000, 720, 1000, 1300, 1000, 1000, 1000, 880, 1000, 1000, 1000, 1000, 1000, 1600, 1300, 1600, 1300, 1300, 880, 1000, 1300, 1300, 1000, 1300, 1000, 1300, 1600, 1900, 1900, 1600, 1600, 1600, 1900, 2400, 1900, 1900, 1900, 1600, 2900, 2400, 1900, 1600, 1300]"
ai ml engineer,1900,"[110, 90, 110, 90, 110, 170, 140, 210, 210, 260, 260, 210, 320, 320, 390, 320, 320, 390, 390, 390, 480, 720, 1600, 590, 590, 720, 720, 720, 720, 880, 1000, 1300, 1600, 1900, 1900, 1900, 1900, 1600, 1600, 1300, 1600, 1900, 1600, 1900, 1900, 2400, 1900, 1600]"
